unicode_name,emoji,twitter_freq,whatsapp_freq,clarity_mean,arousal_mean,valence_mean,familarity_mean,complexity_mean,num_ratings
:sneezing_face:,🤧,44117,14,71.857143,54.321429,30.107143,45.964286,57.750000,28
:squinting_face_with_tongue:,😝,107194,13,55.555556,58.851852,74.148148,72.925926,44.592593,27
:star_struck:,🤩,450702,29,58.615385,70.961538,88.807692,48.807692,62.576923,26
:thinking_face:,🤔,2378668,341,45.785714,44.357143,50.642857,82.357143,57.750000,28
:tired_face:,😫,103673,27,57.821429,74.750000,18.571429,66.142857,56.214286,28
:unamused_face:,😒,144473,41,64.000000,54.076923,24.500000,76.153846,43.269231,26
:upside_down_face:,🙃,489217,65,37.962963,45.111111,68.814815,76.962963,21.370370,27
:weary_face:,😩,251539,74,56.548387,59.645161,25.064516,69.161290,50.516129,31
:winking_face:,😉,2836084,179,53.580645,45.870968,63.935484,82.354839,27.516129,31
:winking_face_with_tongue:,😜,517472,82,50.192308,58.115385,75.923077,80.038462,52.923077,26
:woozy_face:,🥴,277053,32,35.483871,51.419355,48.806452,44.290323,70.516129,31
:worried_face:,😟,64848,17,74.500000,67.178571,21.071429,59.857143,27.607143,28
:yawning_face:,🥱,121068,4,70.777778,33.740741,42.296296,59.962963,54.222222,27
:zany_face:,🤪,513244,45,55.538462,66.461538,64.846154,58.730769,59.576923,26
:zipper_mouth_face:,🤐,45353,5,54.806452,50.354839,33.612903,30.935484,66.741935,31
