comment_id,username,message
ct_186,Sporty Otter Pop (René Lilly),Ignoring Er C. Will not be provoked in such a peaceful place
ct_188,BrigadierSchmitt,@Pinguin Mutti sure :red_heart: 
ct_192,Sporty Otter Pop (René Lilly),Totally Block works fine 
ct_194,AntmanJr,@Er C You look bad :grinning_face_with_sweat:
ct_195,Daft Frank,Stanger Things :red_heart:
ct_196,Kris Russel,I was there on the front row. It was amazing!
ct_197,Dmytro Rybak,:blue_heart:
ct_198,Dmytro Rybak,:yellow_heart:
ct_199,Sporty Otter Pop (René Lilly),Kris Russel how fantastic
ct_200,Caner Deniz,:face-blue-smiling::hand-pink-waving::face-red-heart-shape::trophy-yellow-smiling::eyes-pink-heart-shape:
ct_202,Cosmic Seeds,Moby signed my shirt with over 100 DJs from around the world :heart_suit:
ct_203,Dmytro Rybak,:face-red-heart-shape:
ct_204,Axel Folly,He's come a long way since his rave/ techno days. I wonder if past Moby would approve
ct_205,Anne Zemmour,Same price as everywhere just arriving early haha
ct_207,K. Oulad,:face-blue-smiling::hand-purple-blue-peace:
ct_208,Kris Russel,All standing was the same price
ct_211,Alexander Fleener,:purple_heart: 
ct_214,Cosmic Seeds,love this song
ct_215,Anne Zemmour,This song was from past Moby so yes he would approuve 
ct_216,Anonymous ,:red_heart:
ct_218,Hawaiian Guitar Crossroads,:raising_hands::raising_hands::raising_hands:
ct_220,Belen Gahz,:red_heart: 
ct_221,KröterichNo1,i don't mind the music but moby with a guitar?
ct_223,Cosmic Seeds,definitely he'd agree
ct_225,Anne Zemmour,He was first a guitar player before dj 
ct_229,Sporty Otter Pop (René Lilly),quite a large venue for small Belgium :grinning_face:
ct_230,Caio Magalhaes,his most famous works use guitar
ct_231,Belen Gahz,He always play the guitar 
ct_232,Karen Parrales,The best song ever 
ct_235,Octobert,has he played when its cold outside I want to die yet
ct_238,Gonzalo Molina Flores,madre mia moby live :smiling_face_with_hearts::star_struck:
ct_240,Epi..mű,fantastic reworking :musical_notes:👏🏼
ct_244,Axel Folly,Moby came out of the punk scene with The Vatican Commandos primarely
ct_251,Epi..mű,🙌🏼Merci beaucoup @ARTE Concert ✓:musical_notes::revolving_hearts::musical_notes::smiling_face_with_hearts::musical_notes: thanks 👍🏼🙏🏼:musical_notes:👏🏼👏🏼
ct_253,Sporty Otter Pop (René Lilly),The staging of this is grandiose
ct_254,oktodisconnect,this woke version actually sounds good
ct_259,Julieta Pusino,i like the original more
ct_260,Hantz,:hand-orange-covering-eyes:
ct_263,Epi..mű,"wtf ., ""woke"" :pleading_face::face_exhaling:"
ct_265,T,"What life would be without the songs or dance what are we, so I say thank you for the music giving it to me "
ct_266,Wanù,Mouaif...bof bof
ct_267,goochn,her voice is boring / standard and to loud - no atmosphere
ct_269,Cosmic Seeds,yes we love it
ct_275,Juanes95,Where are the strings :(?
ct_276,Epi..mű,:hot_beverage: cheers got my porcelain at hand:face-turquoise-drinking-coffee:
ct_277,Miguel Angel,y south side????
ct_278,filtav,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
ct_280,quesaquòfil2b,Ok merci @ARTE Concert. :red_heart:
ct_281,CristianKirk,I didn't recognize it without the strings sample
ct_283,Sergio Vasquez,so this is goodbye
ct_284,Elvira Pecik,:beaming_face_with_smiling_eyes:
ct_285,madaboutminds,Moby for President
ct_287,CristianKirk,I assume the strings will appear at some point...
ct_291,Sporty Otter Pop (René Lilly),"yeah there are strings onstage, in previous numbers"
ct_292,Richard,I was there in Torhout!
ct_294,Epi..mű,piano :musical_keyboard: strings :winking_face:
ct_295,Antony Stark,The Beach
ct_296,HNRIK,we need the strings...
ct_298,Sporty Otter Pop (René Lilly),I hear strings now
ct_300,Epi..mű,you happy now :smiling_face::musical_notes:
ct_303,filtav,:eyes-pink-heart-shape: this bit is magical :eyes-pink-heart-shape:
ct_304,Thor Hamma,:transgender_symbol::rainbow_flag::purple_square::blue_square::green_square::yellow_square::orange_square::red_square::seedling:
ct_305,CristianKirk,It's not quite the original sample
ct_307,Sporty Otter Pop (René Lilly),cello makes everything more lovely
ct_310,Epi..mű,it's not quite the original Era ... happy 2024:smiling_face::face-turquoise-covering-eyes::hand-purple-blue-peace::face-blue-heart-eyes:
ct_311,Владимир Губатов,backs vocals :ok_hand:
ct_316,Ford Prefect,"Alright that's good shit. ""Play"" is one of the best albums ever made."
ct_317,CristianKirk,Ha... I knew it
ct_318,CristianKirk,It's the same era ;)
ct_321,Juanes95,"There you go, the reversed string sample"
ct_324,Epi..mű,":hugging_face:👊🏼Tamás Borbély., good evening @ARTE :musical_notes: with the fun sounds of Moby :smiling_face:"
ct_325,CristianKirk,"That was perfect, crescendo style"
ct_327,Denis Gabriel Hurtado,Excellent arrangements that make me vibrate :musical_keyboard:
ct_328,Carli Carpa,Like the faster Versions more...
ct_329,el polaco,Moby? You can get stomped by Obie
ct_335,kleiven H,this riff will never end?
ct_337,Tamás Borbély,hey @ARTE Concert Happy tu see Moby :musical_note::musical_notes::speaker_high_volume::musical_note::musical_notes::speaker_high_volume:
ct_339,Cosmic Seeds,no it shouldn't
ct_340,Franco,"eternal loop, and its ok"
ct_344,Franco,yes! awesome
ct_345,quesaquòfil2b,:red_heart::sparkling_heart::heart_with_ribbon::heart_with_arrow::revolving_hearts::dizzy:
ct_349,Russell Watkins,tf is this
ct_350,Cosmic Seeds,I listen to the 1 hr version of this on repeat...porcelain
ct_352,Vincero!,:face-blue-smiling::face-blue-smiling::face-blue-smiling:
ct_353,Sporty Otter Pop (René Lilly),I was going to mention his walking fast too :grinning_face:
ct_354,Jenea1987,:raising_hands::raising_hands::raising_hands:
ct_355,Ford Prefect,That shit slaps
ct_356,Sporty Otter Pop (René Lilly),Moby Sports
ct_357,Vincero!,:face_with_tongue::winking_face_with_tongue::zany_face::squinting_face_with_tongue:
ct_358,jackdanijel1979,:red_heart:Welcome Dear Moby Starseed!:two_hearts:
ct_360,Franco,that synth girl :eyes-pink-heart-shape:
ct_361,Anne Zemmour,This version is amazing 
ct_365,Sabrina Fairchild ,"Waiting for South Side and Why does my heart feel so bad, hope I didn't miss them"
ct_366,Sergio Vasquez,this version is truly amazing
ct_367,Cosmic Seeds,not sure either
ct_368,Ford Prefect,:3
ct_370,Anne Zemmour,We are all made of stars :star: :blue_heart:
ct_371,Alexander Fleener,We are
ct_372,Ford Prefect,We are indeed made of stars
ct_373,kleiven H,he is pretty good - he should go for britans got talent or something - he would probably be up there 
ct_375,Anne Zemmour,I hope he will erase this version for me it was one of the best of the show I had so much fun 
ct_377,Octobert,im ready for the next song
ct_380,Anne Zemmour,release *
ct_382,Bruno Domingues,this sounds like PSB
ct_383,kleiven H,this is the most boring ive ever heard
ct_385,Ford Prefect,"Moby sounds on this live set a bit like a blend of Kraftwerk and Depeche Mode and himself, Moby, of course. Absolutely great stuff."
ct_389,Sporty Otter Pop (René Lilly),I agree Ford Prefect
ct_392,Sporty Otter Pop (René Lilly),A wee bit of Pink Floyd too
ct_399,Ford Prefect,"Oh yes some Pink Floyd sprinkled on everything too, agreed."
ct_403,Epi..mű,"Hope you've got your towel handy .,. Ford"
ct_405,Luca M.,:speaker_high_volume::musical_note::musical_notes::sparkles::sparkles::dashing_away:
ct_409,Tamás Borbély,yoooo @Luca M. @Cosmic Seeds:face-purple-wide-eyes::hand-pink-waving:
ct_410,patrick deklein,Go vegan thx Moby 
ct_411,Animaphagus,Moby's first albums (up until Hotels) were so freaking good
ct_412,erm0n,"I know he has ever been keen on remixing, 'upscaling' and so on. I'm not that convinced."
ct_414,Bruno Domingues,Pet Shop Boys 
ct_418,Luca M., :raising_hands::sparkles::raising_hands::sparkles::raising_hands:
ct_423,Luca M.,@T :waving_hand::slightly_smiling_face:hey
ct_426,Luca M.,:speaker_high_volume::musical_note::musical_notes::sparkles::sparkles::dashing_away:
ct_428,Cosmic Seeds,THIS IS SO :fire:
ct_429,Russell Watkins,get the crackhead off the stage
ct_430,sam,this is so cringe
ct_431,Luca M.,@T :raising_hands::collision::raising_hands::collision::raising_hands:
ct_432,Stephen Lee,:speaker_high_volume::speaker_high_volume::speaker_high_volume:
ct_433,Ford Prefect,The Prodigy
ct_435,Sina Drm,yeahhh getting high on this 
ct_436,Antony Stark,"This show, bring back so much good memories"
ct_437,HNRIK,Moby really likes the blue color :grinning_face: 
ct_442,Tamás Borbély,:musical_notes::musical_note::speaker_high_volume::clapping_hands::open_hands:
ct_444,Stephen Lee,:speaker_high_volume::speaker_high_volume:
ct_445,Epi..mű,Wouldn't have*
ct_446,Benjamin Kunz,soy division is nice ^^
ct_448,Tech-Savvy,:partying_face::partying_face::partying_face::partying_face:
ct_449,T,:face_screaming_in_fear:
ct_453,Virginie,how old is he now ?
ct_454,Tamás Borbély,whutta vibezz:face-fuchsia-wide-eyes:
ct_460,Virginie,bonsoir ! :winking_face:
ct_461,gueroblanco,love that many people are having a good time but i dont really get this show
ct_463,Ford Prefect,Also there's Youtubes brilliant ignore functionality: I added sam the user ignore list of course
ct_467,Tech-Savvy,when is the next Moby concert and in which country?
ct_469,Ashley W,I love how he just sounds like somebody's nerdy dad here.
ct_470,Luca M.,:sparkles::raising_hands::sparkles::raising_hands:
ct_472,Craig,Plz play praise you :thumbs_up::thumbs_up::thumbs_up:
ct_475,Epi..mű,"oh ., I love the live version of ""Waiting for the Barbarians"" by Laurie Anderson on YT is fekn phenomenal :musical_notes:"
ct_478,Julian Reverse,Lady Blackbird :smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:
ct_482,Ford Prefect,Reed. Bowie. Fantastic people they were. I do miss them dearly.
ct_483,Anastadres,is it online?
ct_484,Jannis JaG,RIP Lou Reed and RIP David Bowie!
ct_486,Fluid Alchemist,they always get the pretty violonists
ct_487,Tech-Savvy,What is happening
ct_491,Epi..mű,"Perfect Day and Hero's., top ten lifetime tracks 🙏🏼:musical_notes::revolving_hearts:"
ct_492,tomtomftube,thanks for the free concert :rolling_on_the_floor_laughing:
ct_493,Tamás Borbély,:pillow-turquoise-hot-chocolate::hands-yellow-heart-red::face-turquoise-music-note::person-pink-swaying-hair:
ct_494,Thor Hamma,Amazing voice :hands-yellow-heart-red:
ct_496,Sporty Otter Pop (René Lilly),she's a queen
ct_498,Jannis JaG,@Tech-Savvy: I don't think Moby will do a tour in the next years again.
ct_499,Luca M.,:musical_notes::musical_note::sparkles::sparkles:
ct_500,Julian Reverse,Listen to her new Album! 
ct_504,ΑRGÁVATHIÁ,Moby :red_heart::red_heart::red_heart:
ct_505,BrigadierSchmitt,so beautiful
ct_506,Jannis JaG,Lady Blackbird is an extremely good Singer.
ct_507,Luca M.,:musical_notes::musical_note::sparkles::sparkles::shooting_star::shooting_star:
ct_508,Sporty Otter Pop (René Lilly),"Mahalia Jackson's listening from her grave, and smiling, about this voice, I reckon"
ct_509,Russell Watkins,tf is she wearing
ct_510,filtav,:hand-orange-covering-eyes:
ct_512,Tamás Borbély,:open_hands::clapping_hands::raising_hands::open_hands::clapping_hands::raising_hands:
ct_513,Ford Prefect,Alright. Let them tears flow
