comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_50,@professfuckerQueens,2021-06-15T17:01:05+00:00,"35 days, 21:26:05",Faith No More | Area4 Festival 2009 | Re-Livestream
ct_51,@Robertchu,2021-06-13T12:07:38+00:00,"33 days, 16:32:38",The Real Thing and Angel Dust are just two of the most important albums in rock history.
ct_52,@TheSeven7eaf,2021-06-12T14:34:12+00:00,"32 days, 18:59:12","You made my very terrible morning, sir..."
ct_53,@YaroslavVoytovych,2021-06-11T23:27:23+00:00,"32 days, 3:52:23",Feel 25 years younger now
ct_54,@elizabethcostaleite2347,2021-06-10T14:15:24+00:00,"30 days, 18:40:24","Amo,e a voz do Mike Patton de alcance vocal fenomenal!!"
ct_55,@th3gr81,2021-06-09T13:58:12+00:00,"29 days, 18:23:12",Mike Patton is annoying like Narduar.
ct_56,@andrelopicino88,2021-06-06T21:14:37+00:00,"27 days, 1:39:37",🇧🇷🤘🏻
ct_57,@NothingmanX,2021-06-06T20:47:47+00:00,"27 days, 1:12:47",33:12 cocaine is a hell of a drug
ct_58,@nickpruett8022,2021-06-05T03:37:33+00:00,"25 days, 8:02:33","Real band, real musicians, playing real music….. man I miss this."
ct_59,@komputnik,2021-06-03T20:40:40+00:00,"24 days, 1:05:40",The music and performance is otherworldly but the video guys were on…drugs ?
ct_60,@eugenemakeev5515,2021-06-03T11:04:29+00:00,"23 days, 15:29:29",Любимая группа! Майк Паттон просто бог!
ct_61,@knifeprtyyyy,2021-06-03T10:17:15+00:00,"23 days, 14:42:15",God damn Mike was fucking feeling it this night!! Long live FNM 🤘🏻
ct_62,@dawidklucz849,2021-06-02T20:42:37+00:00,"23 days, 1:07:37",Funny thing after all those years FnM sounds more metal and heavy than before!!!!
ct_63,@rubenleyton5147,2021-06-02T20:41:39+00:00,"23 days, 1:06:39",Orale!!!
ct_64,@dawidklucz849,2021-06-02T20:38:25+00:00,"23 days, 1:03:25",Last genius band on planet !!!!!
ct_65,@melshaw9653,2021-06-01T12:25:57+00:00,"21 days, 16:50:57",Chaos at it's absolute finest!!
ct_66,@CP-kb1du,2021-05-31T20:06:04+00:00,"21 days, 0:31:04",6:13 WTF with the Hitler Nazi Salute Patton ...caught up in the moment ...
ct_67,@guillermocarreon3071,2021-05-28T01:00:56+00:00,"17 days, 5:25:56",1:06:08... Didn't know Drake Bell was a FNM fan Jaja!
ct_68,@bomergtr,2021-05-27T02:03:38+00:00,"16 days, 6:28:38",Mike Patton siendo la mera verga tranquilamente como siempre
ct_69,@sethtravis34,2021-05-26T22:52:51+00:00,"16 days, 3:17:51",I'll never understand all the dumbasses with the phones out. Just watch and enjoy!!
ct_70,@ПлатонПичугин,2021-05-25T20:48:02+00:00,"15 days, 1:13:02",Это просто охуен.о¡
ct_71,@paulbertie434,2021-05-23T10:04:08+00:00,"12 days, 14:29:08",Mike will be doing vegas in his 70's 100%
ct_72,@criss3596,2021-05-22T00:21:56+00:00,"11 days, 4:46:56",Cool
ct_73,@williamdunlop97,2021-05-20T14:14:04+00:00,"9 days, 18:39:04",👏 class
ct_74,@disconnected22,2021-05-19T02:58:41+00:00,"8 days, 7:23:41",That opening with a cover of “Reunited” is great!
ct_75,@SloopADoopy,2021-05-18T23:03:28+00:00,"8 days, 3:28:28",This goes out to Bruce!
ct_76,@kangre99,2021-05-17T18:57:20+00:00,"6 days, 23:22:20",👌👌👌👌👍👍👍 maravilloso
ct_77,@uweh.8762,2021-05-17T10:53:04+00:00,"6 days, 15:18:04",Ein Absolut genialer Sänger.
ct_78,@nahuelaguirre3846,2021-05-13T06:13:53+00:00,"2 days, 10:38:53",14:59 Evidence (en español)
ct_79,@memyopinionsche6610,2021-05-13T03:49:14+00:00,"2 days, 8:14:14",And do a theory on the real thing.It does have a narrative in the album..From finding the perfect one banging having the kid and growing old...
ct_80,@memyopinionsche6610,2021-05-13T03:39:59+00:00,"2 days, 8:04:59",\mm/.
ct_81,@memyopinionsche6610,2021-05-13T03:29:52+00:00,"2 days, 7:54:52",Still can't figure out how Mike Patton can sing in 16 different ways in still keep up is flawless..Without losing a beat and his voice..Truly a master singer.
ct_82,@memyopinionsche6610,2021-05-13T03:26:18+00:00,"2 days, 7:51:18",Sorry hate to say it..Just imagine The Best of both world tour..FAITH NO MORE AND RED HOT CHILI PEPPERS.Crazy I know but love both bands..I'm so confused.
ct_83,@gerdlucking6260,2021-05-12T17:48:22+00:00,"1 day, 22:13:22","6:12 Huch, was war das denn? 🙋🏼‍♂️"
