comment_id,username,message,feeling_pos,feeling_neu,feelinf_neg,external_ref,phys_react_intentional,phys_react_unintentional
ct_193,Carolina Burgos,Awwww..... precious moment!! :red_heart:,,,,,,
ct_194,Tímea Molnár,Greetings from Vienna,,,,,,
ct_197,Jana Von Herzen,I would siiting with you everywhere :red_heart::face_with_hand_over_mouth:,,,,,,
ct_199,Stingako,The Dock Of The Bay...:bouquet::bouquet::bouquet: ,,,,,,
ct_201,Judy Inwood,"Greetings from Cincinnati, Ohio",,,,,,
ct_202,AdFab Gessert,Great live ! :red_heart:,,,,,,
ct_210,brian ketaren,:elbowcough::elbowcough::elbowcough:,,,,,,
ct_211,marvusparvus,:heart_decoration::heart_decoration::heart_decoration::heart_decoration::heart_decoration::heart_decoration::heart_decoration::heart_decoration:,,,,,,
ct_216,Moody'sBack,"I watch Kaamelott today, Sting is perfect",,,,,,
ct_223,Th0mas Lange,"leans back in Armchair, and enjoyes ;)",,,,,,
